cityName,population,coords,countryName,continent,officialLanguage
Yangzhou,4559797,Point(119.43625 32.39117),People's Republic of China,Asia,Putonghua
Shanghai,24870895,Point(121.469166666 31.2325),People's Republic of China,Asia,Putonghua
Suqian,4986192,Point(118.283056 33.933056),People's Republic of China,Asia,Putonghua
Shantou,5502031,Point(116.682222222 23.353888888),People's Republic of China,Asia,Putonghua
Jiaxing,5400868,Point(120.75 30.7522),People's Republic of China,Asia,Putonghua
Changzhi,3180884,Point(112.88436 36.45564),People's Republic of China,Asia,Putonghua
Datong,3318054,Point(113.291388888 40.093611111),People's Republic of China,Asia,Putonghua
Zhoushan,1121261,Point(122.20488 29.98869),People's Republic of China,Asia,Putonghua
Neijiang,3140678,Point(105.0635 29.58716),People's Republic of China,Asia,Putonghua
Zhaoqing,4151700,Point(112.466666666 23.05),People's Republic of China,Asia,Putonghua
Guang'an,3254883,Point(106.63358 30.46729),People's Republic of China,Asia,Putonghua
Tonghua,1302778,Point(125.94705 41.73015),People's Republic of China,Asia,Putonghua
Zhaotong,5092611,Point(103.71445 27.33284),People's Republic of China,Asia,Putonghua
Baoshan,2431211,Point(99.16905 25.12105),People's Republic of China,Asia,Putonghua
Chuzhou,3937868,Point(118.31148 32.30621),People's Republic of China,Asia,Putonghua
Zhuzhou,4020800,Point(113.14692 27.84071),People's Republic of China,Asia,Putonghua
Hohhot,3446100,Point(111.66293 40.81507),People's Republic of China,Asia,Putonghua
Yongzhou,5289824,Point(111.59527 26.4515),People's Republic of China,Asia,Putonghua
Hanzhong,3211462,Point(107.02598 33.07938),People's Republic of China,Asia,Putonghua
Hezhou,2072600,Point(111.547777777 24.416388888),People's Republic of China,Asia,Putonghua
Yuyao City,1095000,Point(121.15463 30.037195),People's Republic of China,Asia,Putonghua
Baiyin,1708751,Point(104.1766 36.5448),People's Republic of China,Asia,Putonghua
Wuzhou,2820977,Point(111.316667 23.483333),People's Republic of China,Asia,Putonghua
Qingyang,2179716,Point(107.64 35.727777777),People's Republic of China,Asia,Putonghua
Yinchuan,2859074,Point(106.225 38.485),People's Republic of China,Asia,Putonghua
Hechi,3545700,Point(108.085 24.692777777),People's Republic of China,Asia,Putonghua
Xingtai,7111106,Point(114.47531 37.06594),People's Republic of China,Asia,Putonghua
Yulin,3624750,Point(109.73881 38.26548),People's Republic of China,Asia,Putonghua
Kaifeng,4824016,Point(114.345 34.795),People's Republic of China,Asia,Putonghua
Bijie,6899636,Point(105.28627 27.30193),People's Republic of China,Asia,Putonghua
Pingliang,1848607,Point(106.68192 35.54123),People's Republic of China,Asia,Putonghua
